path,label,mode,width,height,channels,reason
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR101_dup_389.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10_dup_103.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10_dup_181.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10_dup_219.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10_dup_224.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10_dup_310.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR10_dup_67.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_186.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_191.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_199.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_295.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_318.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_341.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR11_dup_8.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR12.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR12_dup_46.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR13.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR13_dup_311.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR13_dup_391.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR13_dup_50.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR13_dup_93.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14_dup_183.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14_dup_236.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14_dup_237.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14_dup_352.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14_dup_359.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR14_dup_380.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR15.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR15_dup_149.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR15_dup_326.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR15_dup_4.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR16.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR16_dup_198.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR16_dup_243.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR16_dup_26.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR16_dup_376.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR17.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR17_dup_330.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR17_dup_372.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR17_dup_91.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR18.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR18_dup_1.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR18_dup_263.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR18_dup_274.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR18_dup_6.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR19.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR19_dup_128.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR19_dup_231.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR19_dup_257.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR19_dup_34.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR19_dup_360.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR1_dup_136.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR1_dup_233.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR1_dup_290.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR2.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR20.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR20_dup_168.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR20_dup_196.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR20_dup_394.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR20_dup_41.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR21.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR21_dup_16.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR21_dup_227.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR21_dup_392.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR22.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR22_dup_172.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR22_dup_248.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR22_dup_261.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR23.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR23_dup_244.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR24.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR24_dup_134.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR24_dup_339.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR24_dup_342.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR24_dup_355.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR24_dup_40.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR25.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR25_dup_10.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR25_dup_152.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR25_dup_188.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR25_dup_356.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_137.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_143.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_154.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_159.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_187.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_270.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_331.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_36.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_361.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_397.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR26_dup_95.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR27.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR27_dup_282.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR27_dup_316.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR27_dup_32.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR28.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR28_dup_166.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR28_dup_277.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR28_dup_334.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR28_dup_59.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29_dup_207.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29_dup_21.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29_dup_222.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29_dup_324.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29_dup_74.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR29_dup_86.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR2_dup_197.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR3.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR30.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR30_dup_100.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR30_dup_254.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR30_dup_303.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR30_dup_70.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR30_dup_90.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR31.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR31_dup_278.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR31_dup_52.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR31_dup_71.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32_dup_174.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32_dup_3.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32_dup_317.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32_dup_354.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32_dup_369.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR32_dup_37.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR33.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR34.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR34_dup_267.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR34_dup_276.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR35.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR35_dup_131.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR35_dup_258.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR35_dup_288.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR36.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR36_dup_292.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR36_dup_66.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR37.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR37_dup_115.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR37_dup_208.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR37_dup_218.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR37_dup_348.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR37_dup_64.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_107.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_163.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_238.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_251.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_363.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_375.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR38_dup_82.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR39.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR39_dup_12.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR39_dup_120.jpg,RGB_COLOR,RGB,2004,1690,3,
F:/Thesis/EyeModel/Dataset/FinaldataOriginal\Central Serous Chorioretinopathy\CSCR39_dup_130.jpg,RGB_COLOR,RGB,2004,1690,3,
